system,signal_dt,entry_dt,exit_dt,year,month,pnl_pt,pnl_yen,result
①,2024-01-11 21:50:00,2024-01-11 21:55:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 21:55:00,2024-01-11 22:00:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 22:00:00,2024-01-11 22:05:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 22:05:00,2024-01-11 22:10:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 22:10:00,2024-01-11 22:15:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 22:15:00,2024-01-11 22:20:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:20:00,2024-01-11 23:25:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:25:00,2024-01-11 23:30:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:30:00,2024-01-11 23:35:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:35:00,2024-01-11 23:40:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:40:00,2024-01-11 23:45:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-11 23:45:00,2024-01-11 23:50:00,2024-01-12 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 18:05:00,2024-01-15 18:10:00,2024-01-15 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 18:10:00,2024-01-15 18:15:00,2024-01-15 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 18:15:00,2024-01-15 18:20:00,2024-01-15 20:40:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 18:20:00,2024-01-15 18:25:00,2024-01-15 20:45:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 18:35:00,2024-01-15 18:40:00,2024-01-15 20:40:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 18:50:00,2024-01-15 18:55:00,2024-01-15 20:40:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:20:00,2024-01-15 19:25:00,2024-01-15 20:15:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:25:00,2024-01-15 19:30:00,2024-01-15 20:15:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:30:00,2024-01-15 19:35:00,2024-01-15 20:15:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:35:00,2024-01-15 19:40:00,2024-01-15 20:15:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:40:00,2024-01-15 19:45:00,2024-01-15 20:15:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 19:45:00,2024-01-15 19:50:00,2024-01-15 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-15 21:30:00,2024-01-15 21:35:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 21:35:00,2024-01-15 21:40:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 21:40:00,2024-01-15 21:45:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 21:45:00,2024-01-15 21:50:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 21:50:00,2024-01-15 21:55:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 21:55:00,2024-01-15 22:00:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:00:00,2024-01-15 22:05:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:05:00,2024-01-15 22:10:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:10:00,2024-01-15 22:15:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:15:00,2024-01-15 22:20:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:30:00,2024-01-15 22:35:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:35:00,2024-01-15 22:40:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 22:55:00,2024-01-15 23:00:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:00:00,2024-01-15 23:05:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:05:00,2024-01-15 23:10:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:10:00,2024-01-15 23:15:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:15:00,2024-01-15 23:20:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:20:00,2024-01-15 23:25:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:25:00,2024-01-15 23:30:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:30:00,2024-01-15 23:35:00,2024-01-16 00:00:00,2024,1,237.8,2378.0,TP
①,2024-01-15 23:35:00,2024-01-15 23:40:00,2024-01-15 23:55:00,2024,1,-62.2,-622.0,SL
