combo,n,win_rate,pnl,pf
bb_upper_zone_30m + macd_positive_60m + break_prev_high,1320,29.85,-24170.0,0.429
bb_upper_zone_30m + macd_positive_15m + break_prev_high,1299,29.95,-23788.0,0.428
bb_pullback_zone_30m + macd_above_signal_30m + break_2bar_high,2003,28.46,-37371.0,0.428
bb_pullback_zone_30m + macd_positive_30m + break_2bar_high,2063,28.36,-38601.0,0.428
bb_upper_zone_60m + macd_above_signal_15m + break_2bar_high,913,28.59,-16681.0,0.427
bb_upper_zone_30m + macd_above_signal_30m + break_prev_high,1291,29.98,-23677.0,0.427
bb_pullback_zone_30m + macd_positive_30m + break_prev_high,2653,28.35,-50081.0,0.427
bb_pullback_zone_60m + macd_positive_60m + break_2bar_high,1736,27.76,-32737.0,0.426
bb_pullback_zone_30m + macd_above_signal_60m + break_2bar_high,1894,28.3,-35668.0,0.426
bb_pullback_zone_60m + macd_positive_60m + break_prev_high,2255,27.89,-42740.0,0.426
bb_pullback_zone_30m + macd_positive_15m + break_2bar_high,2057,28.49,-38729.0,0.425
bb_pullback_zone_30m + macd_above_signal_30m + break_prev_high,2572,28.46,-48519.0,0.425
bb_pullback_zone_30m + macd_golden_cross_60m + break_prev_high,28,28.57,-501.0,0.424
bb_upper_zone_60m + macd_above_signal_15m + break_prev_high,1163,28.98,-21531.0,0.424
bb_upper_zone_30m + macd_positive_30m + break_prev_high,1281,29.59,-23632.0,0.424
bb_pullback_zone_30m + macd_positive_15m + break_prev_high,2641,28.47,-50197.0,0.424
bb_pullback_zone_60m + macd_positive_30m + break_prev_high,2180,27.8,-41415.0,0.422
bb_pullback_zone_30m + macd_above_signal_15m + break_2bar_high,1235,28.99,-22690.0,0.421
bb_pullback_zone_30m + macd_above_signal_15m + break_prev_high,1597,29.18,-29474.0,0.421
bb_upper_zone_30m + macd_above_signal_60m + break_prev_high,1173,29.67,-21836.0,0.42
bb_pullback_zone_60m + macd_above_signal_60m + break_2bar_high,1510,27.48,-28765.0,0.42
bb_pullback_zone_60m + macd_positive_30m + break_2bar_high,1667,27.59,-31594.0,0.42
bb_pullback_zone_15m + macd_positive_60m + break_prev_high,2255,28.12,-42385.0,0.42
bb_pullback_zone_60m + macd_above_signal_30m + break_prev_high,2103,27.86,-40006.0,0.419
bb_upper_zone_30m + macd_above_signal_15m + break_prev_high,1227,29.58,-22739.0,0.418
bb_pullback_zone_60m + macd_above_signal_30m + break_2bar_high,1611,27.62,-30517.0,0.418
bb_pullback_zone_30m + macd_above_signal_60m + break_prev_high,2436,28.16,-46952.0,0.418
bb_pullback_zone_15m + macd_positive_60m + break_2bar_high,1740,27.87,-32920.0,0.416
bb_pullback_zone_60m + macd_positive_15m + break_prev_high,2166,27.89,-41632.0,0.416
bb_pullback_zone_60m + macd_positive_15m + break_2bar_high,1659,27.67,-31823.0,0.414
bb_pullback_zone_15m + macd_positive_30m + break_prev_high,2216,28.07,-42007.0,0.414
bb_pullback_zone_60m + macd_above_signal_15m + break_prev_high,1185,28.86,-21715.0,0.413
bb_pullback_zone_60m + macd_above_signal_60m + break_prev_high,1976,27.53,-38452.0,0.413
bb_pullback_zone_15m + macd_above_signal_30m + break_prev_high,2159,28.07,-41133.0,0.41
bb_pullback_zone_15m + macd_positive_15m + break_prev_high,2193,28.09,-41841.0,0.41
bb_pullback_zone_15m + macd_positive_30m + break_2bar_high,1707,27.77,-32704.0,0.407
bb_pullback_zone_15m + macd_above_signal_15m + break_prev_high,1403,28.8,-26296.0,0.406
bb_pullback_zone_15m + macd_above_signal_60m + break_2bar_high,1591,27.78,-30617.0,0.406
