pattern,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
B,2024-06-27 23:25:00,2024-06-27 23:30:00,2024-06-27 23:50:00,39445.0,47.8,478.0,SESSION,23,3,6,2024
B,2024-06-27 23:30:00,2024-06-27 23:35:00,2024-06-27 23:50:00,39460.0,32.8,328.0,SESSION,23,3,6,2024
B,2024-06-27 23:35:00,2024-06-27 23:40:00,2024-06-27 23:50:00,39470.0,22.8,228.0,SESSION,23,3,6,2024
B,2024-06-27 23:40:00,2024-06-27 23:45:00,2024-06-27 23:50:00,39465.0,27.8,278.0,SESSION,23,3,6,2024
B,2024-06-27 23:45:00,2024-06-27 23:50:00,2024-06-27 23:50:00,39480.0,12.8,128.0,SESSION,23,3,6,2024
B,2024-06-27 23:50:00,2024-06-27 23:55:00,2024-06-28 06:00:00,39495.0,82.8,828.0,SESSION,23,3,6,2024
B,2024-08-01 21:15:00,2024-08-01 21:20:00,2024-08-01 22:40:00,38510.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:20:00,2024-08-01 21:25:00,2024-08-01 22:40:00,38535.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:25:00,2024-08-01 21:30:00,2024-08-01 22:50:00,38500.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:40:00,2024-08-01 21:45:00,2024-08-01 22:30:00,38620.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:45:00,2024-08-01 21:50:00,2024-08-01 22:20:00,38660.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:50:00,2024-08-01 21:55:00,2024-08-01 22:20:00,38665.0,-62.2,-622.0,SL,21,3,8,2024
B,2024-08-01 21:55:00,2024-08-01 22:00:00,2024-08-01 22:20:00,38650.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 22:00:00,2024-08-01 22:05:00,2024-08-01 22:30:00,38625.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 22:05:00,2024-08-01 22:10:00,2024-08-01 22:20:00,38650.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 22:10:00,2024-08-01 22:15:00,2024-08-01 22:25:00,38640.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 22:15:00,2024-08-01 22:20:00,2024-08-01 22:20:00,38650.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 22:20:00,2024-08-01 22:25:00,2024-08-01 22:30:00,38595.0,-62.2,-622.0,SL,22,3,8,2024
B,2024-08-01 23:20:00,2024-08-01 23:25:00,2024-08-01 23:25:00,38770.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:25:00,2024-08-01 23:30:00,2024-08-01 23:50:00,38750.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:30:00,2024-08-01 23:35:00,2024-08-01 23:50:00,38755.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:35:00,2024-08-01 23:40:00,2024-08-01 23:50:00,38770.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:40:00,2024-08-01 23:45:00,2024-08-01 23:50:00,38790.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:45:00,2024-08-01 23:50:00,2024-08-01 23:50:00,38795.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-01 23:50:00,2024-08-01 23:55:00,2024-08-02 00:00:00,38660.0,-62.2,-622.0,SL,23,3,8,2024
B,2024-08-05 22:45:00,2024-08-05 22:50:00,2024-08-05 22:55:00,35270.0,-62.2,-622.0,SL,22,0,8,2024
B,2024-08-05 22:50:00,2024-08-05 22:55:00,2024-08-05 22:55:00,35240.0,-62.2,-622.0,SL,22,0,8,2024
B,2024-08-08 17:55:00,2024-08-08 18:00:00,2024-08-08 18:00:00,35360.0,-62.2,-622.0,SL,18,3,8,2024
B,2024-08-08 18:00:00,2024-08-08 18:05:00,2024-08-08 18:35:00,35300.0,237.8,2378.0,TP,18,3,8,2024
B,2024-08-08 18:05:00,2024-08-08 18:10:00,2024-08-08 18:30:00,35275.0,237.8,2378.0,TP,18,3,8,2024
B,2024-08-08 18:10:00,2024-08-08 18:15:00,2024-08-08 18:35:00,35300.0,237.8,2378.0,TP,18,3,8,2024
B,2024-08-08 18:15:00,2024-08-08 18:20:00,2024-08-08 18:35:00,35300.0,237.8,2378.0,TP,18,3,8,2024
B,2024-08-08 18:20:00,2024-08-08 18:25:00,2024-08-08 18:45:00,35390.0,-62.2,-622.0,SL,18,3,8,2024
B,2024-08-08 18:25:00,2024-08-08 18:30:00,2024-08-08 18:30:00,35490.0,-62.2,-622.0,SL,18,3,8,2024
B,2024-08-08 18:30:00,2024-08-08 18:35:00,2024-08-08 18:45:00,35450.0,-62.2,-622.0,SL,18,3,8,2024
B,2024-08-08 18:35:00,2024-08-08 18:40:00,2024-08-08 18:40:00,35530.0,-62.2,-622.0,SL,18,3,8,2024
